Time;Temp;Luftfuktighet;Lutftryck;Vikt
2022-07-15 20:00:00.000;18,413965;47,5265;946,8975;120,784333
2022-07-15 21:00:00.000;17,2;47,413833;944,033833;121,317333
2022-07-15 22:00:00.000;16,30862;47,2865;940,674166;121,610508
2022-07-15 23:00:00.000;15,41;47,170666;937,716666;121,803
2022-07-16 00:00:00.000;14,669655;46,999322;933,573389;122,128983
2022-07-16 01:00:00.000;14,135862;46,840333;930,438;122,221333
2022-07-16 02:00:00.000;13,501551;46,695333;928,400166;122,220166
2022-07-16 03:00:00.000;12,991034;46,559333;926,455;122,415762
2022-07-16 04:00:00.000;12,950344;46,4245;925,009666;122,580666
2022-07-16 05:00:00.000;12,868103;46,289666;923,603166;122,893559
2022-07-16 06:00:00.000;12,463793;46,214333;923,1315;123,2065
2022-07-16 07:00:00.000;12,611551;46,157;922,252333;123,357288
2022-07-16 08:00:00.000;13,260344;46,1945;922,296666;123,418166
2022-07-16 09:00:00.000;15,210517;46,304333;923,375833;122,938833
2022-07-16 10:00:00.000;19,922413;46,637666;929,073333;121,913898
2022-07-16 11:00:00.000;23,780517;47,185;938,769;121,1345
2022-07-16 12:00:00.000;22,613275;47,637833;944,457166;120,658644
2022-07-16 13:00:00.000;20,875862;47,944666;946,853666;120,8085
2022-07-16 14:00:00.000;19,561551;48,1585;947,606;121,41322
2022-07-16 15:00:00.000;19,689827;48,385084;947,849491;121,4665
2022-07-16 16:00:00.000;20,137413;48,601;947,370666;121,5865
2022-07-16 17:00:00.000;20,092241;48,769333;946,839166;122,064915
2022-07-16 18:00:00.000;19,647586;48,894;946,618666;122,1465
2022-07-16 19:00:00.000;18,965517;48,914833;945,1635;122,275423
2022-07-16 20:00:00.000;18,42431;48,891666;943,724166;122,352
2022-07-16 21:00:00.000;17,899482;48,8135;941,7165;122,645423
2022-07-16 22:00:00.000;17,252413;48,729833;940,556333;122,965166
2022-07-16 23:00:00.000;16,356724;48,600847;938,285254;123,289666
2022-07-17 00:00:00.000;15,560172;48,445833;935,196166;123,464237
2022-07-17 01:00:00.000;14,895;48,274666;932,179166;123,501833
2022-07-17 02:00:00.000;14,11862;48,1005;929,6695;123,716101
2022-07-17 03:00:00.000;13,515344;47,955333;927,763;123,853333
2022-07-17 04:00:00.000;13,071896;47,801;925,574333;124,267166
2022-07-17 05:00:00.000;12,806034;47,662666;923,799;124,23661
2022-07-17 06:00:00.000;14,291206;47,583833;923,271333;123,853
2022-07-17 07:00:00.000;15,891896;47,613166;925,248166;123,617118
2022-07-17 08:00:00.000;19,053448;47,764833;929,029;122,978666
2022-07-17 09:00:00.000;20,886551;48,024166;934,563833;121,950833
2022-07-17 10:00:00.000;21,808275;48,456333;942,899666;121,924745
2022-07-17 11:00:00.000;20,665172;48,76;945,9695;122,476166
2022-07-17 12:00:00.000;22,678965;48,924666;947,086333;122,794237
2022-07-17 13:00:00.000;22,674137;49,111666;948,652333;122,499
2022-07-17 14:00:00.000;23,192413;49,2805;949,717666;122,414833
2022-07-17 15:00:00.000;22,676379;49,418305;951,155762;122,32305
2022-07-17 16:00:00.000;22,231551;49,550166;951,949666;122,351666
2022-07-17 17:00:00.000;22,078275;49,583666;951,015166;122,463898
2022-07-17 18:00:00.000;21,502758;49,569166;950,610166;122,562666
2022-07-17 19:00:00.000;21,007068;49,5335;950,310166;122,658983
2022-07-17 20:00:00.000;20,249137;49,499333;949,692166;122,844666
2022-07-17 21:00:00.000;19,320517;49,428166;947,793666;123,505333
2022-07-17 22:00:00.000;18,471724;49,341;946,082833;124,148305
2022-07-17 23:00:00.000;17,719482;49,198166;943,291333;124,522166
2022-07-18 00:00:00.000;17,341206;49,036949;940,350508;124,64322
2022-07-18 01:00:00.000;17,284137;48,900166;938,718333;124,6005
2022-07-18 02:00:00.000;17,232241;48,789166;937,678666;125,012203
2022-07-18 03:00:00.000;16,886896;48,6935;936,772333;125,3355
2022-07-18 04:00:00.000;16,601379;48,553666;934,776666;125,6185
2022-07-18 05:00:00.000;16,511379;48,4665;934,218166;125,710508
2022-07-18 06:00:00.000;16,455517;48,3845;933,971833;125,789166
2022-07-18 07:00:00.000;16,55931;48,348666;934,047333;126,2
2022-07-18 08:00:00.000;16,740517;48,386166;935,1545;126,827666
2022-07-18 09:00:00.000;17,06431;48,4115;935,2725;127,166666
2022-07-18 10:00:00.000;18,118103;48,475333;936,042;127,371864
2022-07-18 11:00:00.000;19,494482;48,606333;937,9805;126,8715
2022-07-18 12:00:00.000;19,599482;48,850666;941,681833;126,667627
2022-07-18 13:00:00.000;19,396551;49,0355;943,188333;127,169833
2022-07-18 14:00:00.000;19,268103;49,231666;944,522833;128,307118
2022-07-18 15:00:00.000;18,930344;49,411016;944,631864;129,162833
2022-07-18 16:00:00.000;19,124827;49,558166;944,710666;129,477833
2022-07-18 17:00:00.000;19,490862;49,6865;945,199333;128,884745
2022-07-18 18:00:00.000;19,735;49,825666;946,5175;128,500166
2022-07-18 19:00:00.000;20,116379;50,0075;948,05;128,237966
2022-07-18 20:00:00.000;19,644655;50,201333;948,896;128,702833
2022-07-18 21:00:00.000;19,121206;50,3075;948,1165;129,434237
2022-07-18 22:00:00.000;18,579655;50,299833;945,34;130,282666
2022-07-18 23:00:00.000;18,167758;50,161333;941,5635;130,516
2022-07-19 00:00:00.000;17,872241;50,10322;941,241525;130,639491
2022-07-19 01:00:00.000;17,552758;50,039333;940,794833;130,984833
2022-07-19 02:00:00.000;17,262931;49,940166;939,546333;131,245593
2022-07-19 03:00:00.000;16,906896;49,873166;938,7835;131,579166
2022-07-19 04:00:00.000;16,535172;49,797833;937,741666;131,923666
2022-07-19 05:00:00.000;16,179655;49,762666;937,243333;132,33
2022-07-19 06:00:00.000;18,800892;50,30305;931,327796;132,617241
2022-07-19 07:00:00.000;22,653275;49,824067;938,741016;132,663666
2022-07-19 08:00:00.000;22,211551;50,030833;942,477166;131,746666
2022-07-19 09:00:00.000;24,08431;50,322833;947,784666;130,038666
2022-07-19 10:00:00.000;29,595;50,840333;958,839;128,284745
2022-07-19 11:00:00.000;32,566034;51,453833;971,041833;126,5515
